Player,Team,Pos,Height,Weight,Birth Date,Age,Agency,Agent,Contractual Status,YOS
Dario Saric,Denver Nuggets,F-C,6-10,225,"Apr 8, 1994",31,Excel Sports Management,Jared Mucha,"Denver Nuggets, Jul 12, 2024",8
Alex Sarr,Washington Wizards,C,7-0,205,"Apr 26, 2005",20,WME Sports,"Bill Duffy
David Mondress","Washington Wizards, Jul 6, 2024",0
Marcus Sasser,Detroit Pistons,PG,6-2,195,"Sep 21, 2000",24,Priority Sports & Entertainment,"Mark Bartelstein
Kyle McAlarney","Detroit Pistons, Jul 5, 2023",1
Wesley Saunders,Marinos,G-F,6-6,218,"Jun 16, 1993",32,,"Marco Calise
Tyrell Jamerson",Unrestricted Free Agent,0
Jordan Schakel,Maine Celtics,SG,6-6,200,"Jun 13, 1998",27,WEAVE,"Mike Naiditch
Daniel Poneman",Unrestricted Free Agent,2
Baylor Scheierman,Boston Celtics,SG,6-6,205,"Sep 26, 2000",24,Priority Sports & Entertainment,"Mark Bartelstein
Kyle McAlarney","Boston Celtics, Jul 6, 2024",0
Dennis Schröder,Detroit Pistons,PG,6-1,175,"Sep 15, 1993",31,Priority Sports & Entertainment,"Mark Bartelstein
George Roussakis","Detroit Pistons, Jul 12, 2023",11
Donta Scott,Santa Cruz Warriors,SF,6-8,230,"Dec 4, 2000",24,Arete Sports Agency,Andre Buck,Unrestricted Free Agent,0
Mike Scott,Gigantes de Carolina,PF,6-8,237,"Jul 16, 1988",36,CAA Sports,Aaron Mintz,Unrestricted Free Agent,9
Tre Scott,Long Island Nets,PF,6-8,225,"Nov 25, 1996",28,RBA Sports,"B.J. Bass
Cam Brennick",Unrestricted Free Agent,1
Jay Scrubb,Maine Celtics,SG,6-4,220,"Sep 1, 2000",24,,Corey Marcum,Unrestricted Free Agent,3
Dereon Seabron,Salt Lake City Stars,SG,6-5,180,"May 26, 2000",25,Young Money APAA,Adie von Gontard,"New Orleans Pelicans, Apr 9, 2023 Two-Way",2
Alperen Sengun,Houston Rockets,C,6-11,243,"Jul 25, 2002",22,Excel Sports Management,"Sean Kennedy
Bora Sancar","Houston Rockets, Oct 21, 2024",3
Brice Sensabaugh,Utah Jazz,SF,6-5,235,"Oct 30, 2003",21,Wasserman,"Jelani Floyd
Thaddeus Foucher
Joe Smith","Utah Jazz, Jul 2, 2023",1
Collin Sexton,Charlotte Hornets,PG,6-3,190,"Jan 4, 1999",26,Klutch Sports Group,Rich Paul,"Charlotte Hornets, Sep 3, 2022",6
Jaden Shackelford,Osos de Manati,PG,6-3,200,"Feb 14, 2001",24,Wasserman,Josh Beauregard-Bell,Unrestricted Free Agent,0
Landry Shamet,New York Knicks,SG,6-4,190,"Mar 13, 1997",28,Glushon Sports Management,"Jason Glushon
George Langberg","New York Knicks, Dec 23, 2024",6
Terrence Shannon Jr.,Minnesota Timberwolves,G-F,6-6,215,"Jul 30, 2000",24,Klutch Sports Group,"Calvin Andrews
Brandon Cavanaugh","Minnesota Timberwolves, Jul 8, 2024",0
Jamarion Sharp,Texas Legends,C,7-5,235,"Aug 26, 2001",23,Rize Management,Scott Wong Nichols,Unrestricted Free Agent,0
Day'Ron Sharpe,Brooklyn Nets,C,6-9,265,"Nov 6, 2001",23,AMR Agency,Aaron Reilly,"Brooklyn Nets, Aug 6, 2021",3
Shaedon Sharpe,Portland Trail Blazers,SG,6-5,208,"May 30, 2003",22,Klutch Sports Group,"Mike George
Shayaun Saee","Portland Trail Blazers, Jul 1, 2022",2
Jamal Shead,Toronto Raptors,PG,6-1,200,"Jul 24, 2002",22,SAGA Sports,Bill Neff,"Toronto Raptors, Jul 4, 2024",0
Ben Sheppard,Indiana Pacers,SG,6-6,190,"Jul 16, 2001",23,GSL Sports Group,George Langberg,"Indiana Pacers, Jul 1, 2023",1
Reed Sheppard,Houston Rockets,PG,6-2,185,"Jun 24, 2004",21,CAA Sports,"Aaron Mintz
Dave Spahn","Houston Rockets, Jul 2, 2024",0
Simi Shittu,Winnipeg Sea Bears,FC,6-10,240,"Nov 7, 1999",25,,Daryl Graham,Unrestricted Free Agent,0
Devontae Shuler,San Diego Clippers,PG,6-2,185,"Feb 9, 1998",27,,Derrick Powell,Unrestricted Free Agent,0
Pascal Siakam,Indiana Pacers,PF,6-8,245,"Apr 2, 1994",31,,"Jaafar Choufani
Todd Ramasar","Indiana Pacers, Jul 6, 2024",8
Ben Simmons,Los Angeles Clippers,G-F,6-10,240,"Jul 20, 1996",28,Thread Sports Management,Bernie Lee,"Los Angeles Clippers, Feb 10, 2025",8
Jonathon Simmons,Sporting Al Riyadi Beirut,SG,6-6,195,"Sep 14, 1989",35,Klutch Sports Group,"Corey Barker
Mike George",Unrestricted Free Agent,4
Kobi Simmons,Gigantes de Carolina,SG,6-5,180,"Jul 4, 1997",27,Verus Management,Aaron Turner,Unrestricted Free Agent,5
Anfernee Simons,Portland Trail Blazers,PG,6-3,200,"Jun 8, 1999",26,WME Sports,"Bill Duffy
Rade Filipovich","Portland Trail Blazers, Jul 6, 2022",6
K.J. Simpson,Charlotte Hornets,PG,6-0,189,"Aug 8, 2002",22,Klutch Sports Group,"Anthony Fields
Rich Paul","Charlotte Hornets, Jul 7, 2024 Two-Way",0
Zavier Simpson,Umana Venezia,PG,6-0,190,"Feb 11, 1997",28,,"Alexis Liatsos
Todd Ramasar",Unrestricted Free Agent,2
Jericho Sims,Milwaukee Bucks,C,6-10,250,"Oct 20, 1998",26,Glushon Sports Management,"Jason Glushon
Josh Ketroser","Milwaukee Bucks, Jul 9, 2022",3
David Singleton,College Park Skyhawks,SG,6-4,210,"Oct 27, 1998",26,,"Jason Cargile
Marlon Minifee",Unrestricted Free Agent,0
Deividas Sirvydis,Zalgiris,GF,6-8,190,"Jun 10, 2000",25,Excel Sports Management,Michael Tellem,Unrestricted Free Agent,2
Dmytro Skapintsev,Rip City Remix,C,7-0,215,"May 12, 1998",27,Sports International Group Inc.,Michael (Boris) Lelchitski,Unrestricted Free Agent,1
Jalen Slawson,Atleticos de San German,SF,6-7,215,"Oct 22, 1999",25,Verus Management,Aaron Turner,"Sacramento Kings, Jul 2, 2023 Two-Way",1
Javonte Smart,Ottawa Blackjacks,SG,6-4,205,"Jun 3, 1999",26,,"Dan Frank
Mike Miller",Unrestricted Free Agent,2
Marcus Smart,Washington Wizards,PG,6-3,220,"Mar 6, 1994",31,Glushon Sports Management,"Jason Glushon
Josh Ketroser","Washington Wizards, Aug 21, 2021",10
Chris Smith,Edmonton Stingers,PF,6-9,215,"Dec 24, 1999",25,,Christopher Gaston,Unrestricted Free Agent,0
Donta Smith,Trotamundos,SG,6-7,215,"Nov 27, 1983",41,,Wallace Prather,Unrestricted Free Agent,2
Dru Smith,Miami Heat,PG,6-2,203,"Dec 30, 1997",27,AMR Agency,Aaron Reilly,Restricted Free Agent (Miami Heat),2
Jalen Smith,Chicago Bulls,F-C,6-9,215,"Mar 16, 2000",25,Klutch Sports Group,Mike Kneisley,"Chicago Bulls, Jul 8, 2024",4
Jamar Smith,Grissin Bon Reggio Emilia,SG/PG,6-3,185,"Apr 7, 1987",38,,Richard Katz,Unrestricted Free Agent,0
Jabari Smith Jr.,Houston Rockets,PF,6-10,220,"May 13, 2003",22,LIFT Sports Management,Wallace Prather,"Houston Rockets, Jul 1, 2022",2
Nick Smith Jr.,Charlotte Hornets,PG,6-2,185,"Apr 18, 2004",21,Klutch Sports Group,Lucas Newton,"Charlotte Hornets, Jul 3, 2023",1
Malachi Smith,Memphis Hustle,SG,6-4,205,"Dec 6, 1999",25,Sports International Group Inc.,Michael (Boris) Lelchitski,Unrestricted Free Agent,0
Terquavion Smith,Scarborough Shooting Stars,SG,6-4,160,"Dec 31, 2002",22,Young Money APAA,Adie von Gontard,"Philadelphia Sixers, Jul 1, 2023 Two-Way",1
Tolu Smith,Detroit Pistons,PF,6-11,245,"Jul 26, 2000",24,,Corey Marcum,"Detroit Pistons, Jan 6, 2025 Two-Way",0
Tyler Smith,Milwaukee Bucks,PF,6-9,224,"Nov 2, 2004",20,WME Sports,Joe Branch,"Milwaukee Bucks, Jul 5, 2024",0
Zhaire Smith,Piratas de Quebradillas,SG,6-4,205,"Jun 4, 1999",26,,"Fenton Mickeal
Pete Mickeal",Unrestricted Free Agent,3
Tony Snell,Sioux Falls Skyforce,SG,6-6,213,"Nov 10, 1991",33,Sports International Group Inc.,"Michael (Boris) Lelchitski
Sammy Wloszczowski",Unrestricted Free Agent (New Orleans Pelicans),9
Jeremy Sochan,San Antonio Spurs,PF,6-8,230,"May 20, 2003",22,Gersh Sports,Deirunas Visockas,"San Antonio Spurs, Jul 8, 2022",2
Richard Solomon,Beirut Club,PF,6-11,235,"Jun 18, 1992",33,Pensack Sports,"Ben Pensack
Sonny Xiao",Unrestricted Free Agent,1
Joel Soriano,Greensboro Swarm,C,6-10,256,"Jan 30, 2000",25,UNLTD Sports Group,Nick Blatchford,Unrestricted Free Agent,0
Edgar Sosa,Sporting Al Riyadi Beirut,PG,6-2,175,"Jan 15, 1988",37,Benalloul Sports Management,Zac Benalloul,Unrestricted Free Agent,0
Cam Spencer,Memphis Grizzlies,SG,6-4,205,"Apr 6, 2000",25,Priority Sports & Entertainment,"Ross Aroyo
Mark Bartelstein
Torrian Jones",Restricted Free Agent (Memphis Grizzlies),0
Pat Spencer,Golden State Warriors,PG,6-3,205,"Jul 4, 1996",28,Priority Sports & Entertainment,"Ross Aroyo
Mark Bartelstein","Golden State Warriors, Mar 4, 2025",1
Jaden Springer,Utah Jazz,SG,6-4,202,"Sep 25, 2002",22,,"Isaac Conner
Austin Cox
Chad Speck","Utah Jazz, Mar 2, 2025",3
Cassius Stanley,Valley Suns,SF,6-5,190,"Aug 18, 1999",25,The Familie,"David Bauman
Jerome Stanley",Unrestricted Free Agent,2
Isaiah Stevens,Miami Heat,PG,6-0,185,"Nov 1, 2000",24,ProMondo Sports,Matt Bollero,"Miami Heat, Dec 26, 2024 Two-Way",0
Lamar Stevens,Memphis Grizzlies,SF,6-7,230,"Jul 9, 1997",27,,"Greer Love Jr.
Kieran Piller","Memphis Grizzlies, Mar 13, 2025",4
Erik Stevenson,Capital City Go-Go,SG,6-4,205,"Apr 28, 1999",26,LIFT Sports Management,Noah Croom,Unrestricted Free Agent,0
D.J. Steward,Memphis Hustle,PG,6-2,162,"Oct 2, 2001",23,Excel Sports Management,Javon Phillips,Unrestricted Free Agent,0
Isaiah Stewart II,Detroit Pistons,F-C,6-8,250,"May 22, 2001",24,WME Sports,Drew Gross,"Detroit Pistons, Jul 11, 2023",4
David Stockton,Piratas de Quebradillas,PG,5-11,172,"Jun 24, 1991",34,Wasserman,"Thaddeus Foucher
Jason Ranne",Unrestricted Free Agent,2
Julian Strawther,Denver Nuggets,SG,6-6,205,"Apr 18, 2002",23,Wasserman,Darren Matsubara,"Denver Nuggets, Jul 6, 2023",1
Max Strus,Cleveland Cavaliers,G-F,6-5,215,"Mar 28, 1996",29,Priority Sports & Entertainment,Kieran Piller,"Cleveland Cavaliers, Jul 6, 2023",5
Jalen Suggs,Orlando Magic,SG,6-5,205,"Jun 3, 2001",24,Wasserman,"Darren Matsubara
Jason Ranne","Orlando Magic, Oct 21, 2024",3
Jared Sullinger,Cangrejeros de Santurce,PF,6-9,260,"Mar 4, 1992",33,,David Falk,Unrestricted Free Agent,5
Anthony Tarke,Long Island Nets,SG,6-6,220,"May 27, 1997",28,WEAVE,Mike Naiditch,Unrestricted Free Agent,0
Jae’Sean Tate,Houston Rockets,SF,6-4,230,"Oct 28, 1995",29,CAA Sports,"Austin Brown
Steven Heumann
Aaron Mintz
Max Saidman","Houston Rockets, Jul 6, 2022",4
Jayson Tatum,Boston Celtics,F-G,6-8,210,"Mar 3, 1998",27,,"Rishi Daulat
Jeffrey Wechsler","Boston Celtics, Jul 6, 2024",7
Jeffery Taylor,U-Banca Transilvania Cluj Napoca,SF,6-7,225,"May 23, 1989",36,BDA Sports International,"Rade Filipovich
Todd Ramasar",Unrestricted Free Agent,3
Terry Taylor,Stockton Kings,SF,6-4,230,"Sep 23, 1999",25,Career Sports and Entertainment (CSE),Darrell Comer,Restricted Free Agent (Chicago Bulls),3
Garrett Temple,Toronto Raptors,SG,6-5,195,"May 8, 1986",39,Priority Sports & Entertainment,Mark Bartelstein,"Toronto Raptors, Jul 5, 2024",14
Dalen Terry,Chicago Bulls,SF,6-7,195,"Jul 12, 2002",22,Excel Sports Management,"Anthony Coleman
James Dunleavy
Sam Goldfeder","Chicago Bulls, Jul 7, 2022",2
Cam Thomas,Brooklyn Nets,PG,6-3,210,"Oct 13, 2001",23,Octagon,"Alex Saratsis
Ron Shade","Brooklyn Nets, Aug 5, 2021",3
Isaiah Thomas,Salt Lake City Stars,PG,5-9,185,"Feb 7, 1989",36,Thread Sports Management,Bernie Lee,Unrestricted Free Agent (Phoenix Suns),12
Khyri Thomas,Calgary Surge,SG,6-3,210,"May 8, 1996",29,Excel Sports Management,Mike Lindeman,Unrestricted Free Agent,3
Malcolm Thomas,Sagesse Al Hekmeh Beirut,PF,6-9,225,"Nov 8, 1988",36,,"Harrison Gaines
Charles Misuraca",Unrestricted Free Agent,4
Amen Thompson,Houston Rockets,G-F,6-7,200,"Jan 30, 2003",22,,Troy Thompson,"Houston Rockets, Jul 3, 2023",1
Ausar Thompson,Detroit Pistons,G-F,6-6,205,"Jan 30, 2003",22,,Troy Thompson,"Detroit Pistons, Jul 2, 2023",1
Ethan Thompson,Orlando Magic,SG,6-5,195,"May 4, 1999",26,WME Sports,Isiah Turner,"Orlando Magic, Feb 7, 2025 Two-Way",0
Hollis Thompson,Trotamundos,SF,6-8,206,"Apr 3, 1991",34,Benalloul Sports Management,Zac Benalloul,Unrestricted Free Agent,4
Klay Thompson,Dallas Mavericks,SG,6-5,220,"Feb 8, 1990",35,Wasserman,Greg Lawrence,"Dallas Mavericks, Jul 6, 2024",13
Tristan Thompson,Cleveland Cavaliers,PF,6-9,254,"Mar 13, 1991",34,Klutch Sports Group,Rich Paul,"Cleveland Cavaliers, Sep 8, 2024",13
J.T. Thor,Washington Wizards,PF,6-9,203,"Aug 26, 2002",22,Verus Management,Aaron Turner,"Washington Wizards, Sep 8, 2024 Two-Way",3
Matisse Thybulle,Portland Trail Blazers,G-F,6-5,201,"Mar 4, 1997",28,Goodwin Sports Management,Aaron Goodwin,"Portland Trail Blazers, Jul 10, 2023",5
"Xavier Tillman, Sr.",Boston Celtics,SF,6-7,245,"Jan 12, 1999",26,Priority Sports & Entertainment,Zach Kurtin,"Boston Celtics, Jul 2, 2024",4
Drew Timme,Brooklyn Nets,PF,6-10,235,"Sep 9, 2000",24,Valor Sports Agency (VSA),"Deddrick Faison
Rich Gray","Brooklyn Nets, Mar 28, 2025",0
Keisei Tominaga,Indiana Mad Ants,PG,6-2,175,"Feb 1, 2001",24,,Deirunas Visockas,Unrestricted Free Agent,0
Nae'qwan Tomlin,CLE (3/1/2025),PF,6-10,210,"Dec 10, 2000",24,Verus Management,Aaron Turner,"Cleveland Cavaliers, Mar 2, 2025 Two-Way",0
Nikola Topic,Oklahoma City Thunder,SG,6-6,200,"Aug 10, 2005",19,Excel Sports Management,"Mike Lindeman
Jared Mucha
Javon Phillips
Misko Raznatovic","Oklahoma City Thunder, Jul 7, 2024",0
Jacob Toppin,Atlanta Hawks,PF,6-8,200,"May 8, 2000",25,CAA Sports,"Austin Brown
Mitch Nathan
Sam Rose",Restricted Free Agent (Atlanta Hawks),1
Obi Toppin,Indiana Pacers,PF,6-9,220,"Mar 4, 1998",27,CAA Sports,"Austin Brown
Mitch Nathan
Sam Rose","Indiana Pacers, Jul 6, 2024",4
Karl-Anthony Towns,New York Knicks,C-F,7-0,248,"Nov 15, 1995",29,,Jessica Holtz,"New York Knicks, Jul 7, 2022",9
Luke Travers,Cleveland Cavaliers,SF,6-7,207,"Sep 3, 2001",23,Lighthouse Sports Management,Daniel Moldovan,Restricted Free Agent (Cleveland Cavaliers),0
Gary Trent Jr.,Milwaukee Bucks,SG,6-5,204,"Jan 18, 1999",26,Klutch Sports Group,"Lucas Newton
Rich Paul","Milwaukee Bucks, Jul 20, 2024",6
Travis Trice,Criollos de Caguas,PG,6-2,175,"Jan 22, 1993",32,Lighthouse Sports Management,Daniel Moldovan,Unrestricted Free Agent,0
Oscar Tshiebwe,Utah Jazz,F-C,6-8,255,"Nov 27, 1999",25,,John Noonan,Restricted Free Agent (Utah Jazz),1
Jordan Tucker,Westchester Knicks,SF,6-7,210,"Apr 3, 1998",27,,William Hatcher,Unrestricted Free Agent,0
P.J. Tucker,New York Knicks,SF,6-5,245,"May 5, 1985",40,Arete Sports Agency,Andre Buck,"New York Knicks, Apr 1, 2025",13
Myles Turner,Indiana Pacers,C-F,6-11,250,"Mar 24, 1996",29,CAA Sports,Austin Brown,"Indiana Pacers, Jan 30, 2023",9
Jeremy Tyler,Gigantes de Carolina,C,6-10,260,"Jun 21, 1991",34,Benalloul Sports Management,Zac Benalloul,Unrestricted Free Agent,3
Hunter Tyson,Denver Nuggets,PF,6-8,215,"Jun 13, 2000",25,Entersport,Eric Fleisher,"Denver Nuggets, Jul 6, 2023",1
Jaylon Tyson,Cleveland Cavaliers,G-F,6-6,215,"Dec 2, 2002",22,Valor Sports Agency (VSA),"Deddrick Faison
Rich Gray","Cleveland Cavaliers, Jul 2, 2024",0
Stanley Umude,Milwaukee Bucks,SG,6-6,210,"Apr 12, 1999",26,Entersport,Eric Fleisher,"Milwaukee Bucks, Jul 9, 2024 Two-Way",2
Jarrod Uthoff,Pallacanestro Trieste 2004,PF,6-9,221,"May 19, 1993",32,Beo Basket Ltd.,Misko Raznatovic,Unrestricted Free Agent,2
Jonas Valanciunas,Sacramento Kings,C,6-11,265,"May 6, 1992",33,Excel Sports Management,"Jeff Schwartz
Michael Tellem","Sacramento Kings, Jul 6, 2024",12
Vincent Valerio-Bodon,Rip City Remix,G-F,6-9,200,"May 2, 2001",24,,"David Hutchison
Austin Walton",Unrestricted Free Agent,0
Jarred Vanderbilt,Los Angeles Lakers,PF,6-8,214,"Apr 3, 1999",26,Klutch Sports Group,"Rich Paul
Omar Wilkes","Los Angeles Lakers, Sep 18, 2023",6
Fred VanVleet,Houston Rockets,PG,6-0,197,"Feb 25, 1994",31,Klutch Sports Group,Rich Paul,"Houston Rockets, Jul 7, 2023",8
Dejan Vasiljevic,Adelaide,PG,6-3,194,"Apr 26, 1997",28,Wasserman,"Greg Lawrence
Darren Matsubara",Unrestricted Free Agent,0
Devin Vassell,San Antonio Spurs,G-F,6-5,200,"Aug 23, 2000",24,CAA Sports,"Richard Beda
Drew Morrison
Mitch Nathan","San Antonio Spurs, Oct 3, 2023",4
Gabe Vincent,Los Angeles Lakers,PG,6-2,200,"Jun 14, 1996",29,SAGA Sports,Bill Neff,"Los Angeles Lakers, Jul 6, 2023",5
Nikola Vucevic,Chicago Bulls,C/PF,6-10,260,"Oct 24, 1990",34,WME Sports,"Bill Duffy
Rade Filipovich","Chicago Bulls, Jun 28, 2023",13
Tristan Vukcevic,Washington Wizards,PF,7-0,220,"Mar 11, 2003",22,Wasserman,Jason Ranne,Restricted Free Agent (Washington Wizards),1
Dean Wade,Cleveland Cavaliers,F-C,6-9,228,"Nov 20, 1996",28,,"Adam Papas
Austin Walton","Cleveland Cavaliers, Sep 27, 2022",5
Franz Wagner,Orlando Magic,PF,6-10,220,"Aug 27, 2001",23,Glushon Sports Management,Jason Glushon,"Orlando Magic, Jul 6, 2024",3
Moritz Wagner,Orlando Magic,F-C,6-11,245,"Apr 26, 1997",28,Glushon Sports Management,Jason Glushon,"Orlando Magic, Jul 6, 2024",6
Chris Walker,Osceola Magic,F-C,6-9,200,"Dec 22, 1994",30,,Andrew Vye,Unrestricted Free Agent,0
Jabari Walker,Portland Trail Blazers,SF,6-7,237,"Jul 30, 2002",22,WME Sports,"Bill Duffy
Justin Haynes
Isiah Turner","Portland Trail Blazers, Jul 13, 2022",2
Jarace Walker,Indiana Pacers,SF,6-7,235,"Sep 4, 2003",21,WME Sports,"Joe Branch
Bill Duffy
Justin Haynes","Indiana Pacers, Jul 1, 2023",1
Lonnie Walker,Philadelphia Sixers,G-F,6-4,204,"Dec 14, 1998",26,GSL Sports Group,George Langberg,"Philadelphia Sixers, Feb 21, 2025",6
M.J. Walker,Greensboro Swarm,SG,6-5,213,"Mar 28, 1998",27,Career Sports and Entertainment (CSE),Darrell Comer,Unrestricted Free Agent,1
Cason Wallace,Oklahoma City Thunder,PG,6-3,195,"Nov 7, 2003",21,Excel Sports Management,"Max Lipsett
Marcus Monk
Jeff Schwartz","Oklahoma City Thunder, Jul 7, 2023",1
Keaton Wallace,Atlanta Hawks,PG,6-3,185,"Feb 26, 1999",26,Excel Sports Management,"Max Lipsett
Marcus Monk",Restricted Free Agent (Atlanta Hawks),1
Jordan Walsh,Boston Celtics,SG,6-6,205,"Mar 3, 2004",21,,Ramon Sessions,"Boston Celtics, Jul 6, 2023",1
Ja'Kobe Walter,Toronto Raptors,SG,6-5,180,"Sep 4, 2004",20,Glushon Sports Management,Jason Glushon,"Toronto Raptors, Jul 4, 2024",0
Hason Ward,Scarborough Shooting Stars,C,6-9,200,"Sep 24, 2000",24,,George Land,Unrestricted Free Agent,0
Kel'el Ware,Miami Heat,C,7-0,230,"Apr 20, 2004",21,CAA Sports,"Austin Brown
Richie Felder
Max Saidman","Miami Heat, Jul 1, 2024",0
Jameel Warney,Seoul SK,PF,6-8,260,"Jan 31, 1994",31,Excel Sports Management,Sean Kennedy,Unrestricted Free Agent,1
Bryson Warren,Sioux Falls Skyforce,PG,6-3,174,"Oct 14, 2004",20,Excel Sports Management,James Dunleavy,Unrestricted Free Agent,0
T.J. Warren,Westchester Knicks,PF,6-8,220,"Sep 5, 1993",31,Gersh Sports,Maxwell Wiepking,Unrestricted Free Agent,10
TyTy Washington Jr.,Phoenix Suns,PG,6-3,195,"Nov 15, 2001",23,LIFT Sports Management,Kevin Bradbury,"Phoenix Suns, Aug 2, 2024 Two-Way",2
P.J. Washington,Dallas Mavericks,SF,6-6,230,"Aug 23, 1998",26,LIFT Sports Management,Kevin Bradbury,"Dallas Mavericks, Aug 29, 2023",5
Warren Washington,Sioux Falls Skyforce,PF,7-0,225,"Mar 3, 2000",25,Wasserman,Tony Ronzone,Unrestricted Free Agent,0
Lindy Waters III,Detroit Pistons,SF,6-6,210,"Jul 28, 1997",27,Klutch Sports Group,"Rich Paul
Shayaun Saee","Detroit Pistons, Feb 9, 2024",3
Tremont Waters,Gigantes de Carolina,PG,5-10,175,"Jan 10, 1998",27,,Kim Grillier,"Boston Celtics, Nov 23, 2020 Two-Way",3
Trendon Watford,Brooklyn Nets,G-F,6-8,237,"Nov 9, 2000",24,Wasserman,"Thaddeus Foucher
Joe Smith","Brooklyn Nets, Jul 8, 2024",3
Anton Watson,New York Knicks,PF,6-8,225,"Oct 6, 2000",24,,Daveed Cohen,"New York Knicks, Aug 2, 2024 Two-Way",0
Paul Watson,Valley Suns,SG,6-6,210,"Dec 30, 1994",30,Wasserman,Tony Ronzone,Unrestricted Free Agent,3
Peyton Watson,Denver Nuggets,SG,6-7,200,"Sep 11, 2002",22,Excel Sports Management,"James Dunleavy
Sam Goldfeder","Denver Nuggets, Jul 3, 2022",2
Quinndary Weatherspoon,Brampton Honey Badgers,PG,6-3,205,"Sep 10, 1996",28,Atlanture Sports and Entertainment Inc.,Sonny Xiao,Unrestricted Free Agent,3
James Webb III,Unicaja,PF,6-9,202,"Aug 19, 1993",31,Bell Management International,Joel Bell,"Brooklyn Nets, Jan 15, 2018 Two-Way",1
Corey Webster,Manawatu Jets,PG,6-2,190,"Nov 29, 1988",36,Bell Management International,Joel Bell,Unrestricted Free Agent,0
Romeo Weems,Rip City Remix,SF,6-7,215,"Jun 9, 2001",24,Verus Management,Aaron Turner,Unrestricted Free Agent,0
Dez Wells,Cangrejeros de Santurce,SF,6-5,215,"Apr 15, 1992",33,SAGA Sports,Bill Neff,Unrestricted Free Agent,0
Jaylen Wells,Memphis Grizzlies,PF,6-8,206,"Aug 26, 2003",21,,"Amandeep Dhesi
Maurice Angelo Johnson","Memphis Grizzlies, Jul 6, 2024",0
Thomas Welsh,Hitachi Sun Rockers,C,7-0,255,"Feb 3, 1996",29,Pensack Sports,Ben Pensack,Unrestricted Free Agent,1
Victor Wembanyama,San Antonio Spurs,F-C,7-3,235,"Jan 4, 2004",21,Comsport,Bouna Ndiaye,"San Antonio Spurs, Jul 1, 2023",1
Blake Wesley,San Antonio Spurs,PG,6-3,185,"Mar 16, 2003",22,CAA Sports,"Aaron Mintz
Dave Spahn","San Antonio Spurs, Jul 5, 2022",2
Russell Westbrook,Denver Nuggets,PG,6-4,200,"Nov 12, 1988",36,Excel Sports Management,Jeff Schwartz,"Denver Nuggets, Jul 26, 2024",16
Phillip Wheeler,Piratas de Quebradillas,PF,6-8,185,"Apr 23, 2002",23,,Jerry Dianis,Unrestricted Free Agent,0
Coby White,Chicago Bulls,SG,6-5,195,"Feb 16, 2000",25,CAA Sports,"Steven Heumann
Ty Sullivan","Chicago Bulls, Jul 7, 2023",5
Derrick White,Boston Celtics,SG,6-4,190,"Jul 2, 1994",30,Excel Sports Management,Mike Lindeman,"Boston Celtics, Jul 6, 2024",7
Fabian White,Galatasaray,PF,6-8,230,"Nov 29, 1998",26,SAGA Sports,Bill Neff,Unrestricted Free Agent,0
Dariq Whitehead,Brooklyn Nets,G-F,6-6,220,"Aug 1, 2004",20,Excel Sports Management,"James Dunleavy
Mike Lindeman","Brooklyn Nets, Jul 10, 2023",1
Hassan Whiteside,Cangrejeros de Santurce,C,7-0,265,"Jun 13, 1989",36,Bell Management International,Joel Bell,Unrestricted Free Agent,10
Cam Whitmore,Houston Rockets,SF,6-7,230,"Jul 8, 2004",20,WME Sports,Joe Branch,"Houston Rockets, Jul 3, 2023",1
Aaron Wiggins,Oklahoma City Thunder,SG,6-5,190,"Jan 2, 1999",26,NEXT Sports,"Austin Walton
Mike Whitaker","Oklahoma City Thunder, Jul 7, 2024",3
Andrew Wiggins,Miami Heat,SF,6-7,197,"Feb 23, 1995",30,CAA Sports,"Steven Heumann
Drew Morrison","Miami Heat, Oct 15, 2022",10
Scottie Wilbekin,Fenerbahce Beko,PG,6-2,176,"Apr 5, 1993",32,Beo Basket Ltd.,Misko Raznatovic,Unrestricted Free Agent,0
Jake Wiley,Gigantes de Carolina,PF,6-8,220,"Sep 4, 1994",30,Beo Basket Ltd.,Misko Raznatovic,Unrestricted Free Agent,1
Alan Williams,Nagoya Diamond Dolphins,C,6-8,265,"Jan 28, 1993",32,Wasserman,Josh Beauregard-Bell,"Brooklyn Nets, Jan 11, 2019 Two-Way",4
Alondes Williams,Sioux Falls Skyforce,SG,6-4,210,"Jun 19, 1999",26,Hazan Sports Management,Daniel Hazan,Unrestricted Free Agent,2
Brandon Williams,Dallas Mavericks,PG,6-1,190,"Nov 22, 1999",25,,"Fess Irvin
Derek Lafayette
Curtis Lawrence","Dallas Mavericks, Apr 10, 2025",2
Bryson Williams,Brampton Honey Badgers,PF,6-8,240,"Apr 25, 1998",27,Life Sports Agency,"Todd Ramasar
Mike Simonetta",Unrestricted Free Agent,0
Cody Williams,Utah Jazz,SF,6-7,190,"Nov 20, 2004",20,WME Sports,"Bill Duffy
Justin Haynes","Utah Jazz, Jul 2, 2024",0
Derrick Williams,Mets de Guaynabo,PF/SF,6-8,240,"May 25, 1991",34,Gersh Sports,Maxwell Wiepking,Unrestricted Free Agent,7
Donovan Williams,Scarborough Shooting Stars,SG,6-6,190,"Sep 6, 2001",23,LAMF Sports,Daniel Curtin,Unrestricted Free Agent,1
